name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DLX3	2582	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	4	0	0	0	5	0	0	0
DLX4	2574	239	147	24	164	65	60	99	108	166	222	123	184	124	147	196	131	2	17	23	163	218	126	62
DLX5	1406	0	0	0	0	33	44	0	12	0	8	48	43	45	35	30	51	8	11	12	23	18	0	0
DLX6	3290	39	1055	969	862	713	716	622	407	209	1212	1055	1309	1655	2193	1466	1631	964	804	927	284	368	384	130
DMAC1	1144	0	0	0	17	132	5	29	9	0	0	8	0	25	5	13	1	2	10	10	30	4	20	25
DMAC2	2304	1055	516	687	1165	366	838	802	570	920	460	573	705	227	241	241	187	7	14	14	62	111	8	7
DMAP1	1786	2310	1415	4304	2178	2781	2968	4748	878	4603	2303	3803	2048	2093	3125	3235	3170	55	77	58	1076	1240	1395	930
DMBT1	8658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMBX1	1125	0	8	37	32	0	10	24	0	88	28	21	19	18	26	12	12	0	1	0	12	9	5	0
DMC1	3336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	6	0	0	0	0
DMD	14414	27	344	385	464	121	311	121	535	368	562	548	375	616	951	663	1135	1696	1472	1095	181	209	289	103
DMGDH	3342	0	0	71	3	0	14	3	7	0	31	9	10	5	3	22	8	47	34	42	0	3	0	0
DMKN	2049	0	2	43	49	65	25	172	0	137	19	15	24	37	20	21	14	4	3	3	42	31	52	89
DMP1	3041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMPK	2981	1826	764	512	1245	515	1346	1394	230	4323	1098	595	941	544	1337	329	1002	5	8	14	137	475	440	1184
DMRT1	2212	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	2	3	0	0	7	0
DMRT2	2743	0	99	223	106	252	183	121	116	97	216	217	246	257	312	277	324	172	222	178	160	257	171	273
DMRT3	2435	1311	825	523	1348	844	960	649	590	711	686	554	782	539	570	420	688	48	49	67	572	756	824	992
DMRTA1	1770	0	0	6	0	0	24	120	22	0	30	20	19	0	15	8	23	5	20	7	3	7	0	17
DMRTA2	3468	0	0	0	0	0	0	19	0	14	0	8	0	10	12	12	27	0	0	3	0	8	0	4
DMRTB1	1917	0	29	0	1	0	0	6	0	0	17	0	15	3	6	0	8	0	0	0	0	0	0	0
DMRTC2	1614	0	404	213	302	258	685	608	714	3	890	665	694	486	567	466	607	79	63	95	181	365	327	207
DMTF1	4425	1	263	797	245	195	443	247	103	119	427	310	407	318	386	187	141	1248	1375	1268	261	426	511	488
DMTN	3903	0	0	0	27	0	0	0	13	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0
DMWD	2777	28	79	46	58	43	103	102	29	995	27	35	32	101	186	33	194	3	10	14	25	100	41	272
DMXL1	13154	230	126	71	196	155	129	120	217	0	46	59	112	87	74	36	64	946	1021	775	47	70	15	321
DMXL2	11550	2	73	34	90	44	140	28	83	71	100	49	67	36	54	27	51	681	780	606	36	79	73	82
DNA2	3373	6	174	91	115	84	109	103	46	15	45	6	57	165	108	45	60	1519	1358	913	28	19	111	84
DNAAF1	2078	0	0	0	0	9	5	0	0	0	0	0	0	25	6	11	1	1	0	1	0	0	0	4
DNAAF2	3060	0	33	22	57	156	35	73	16	0	86	79	148	97	173	93	105	123	138	105	42	42	21	35
DNAAF3	2658	453	10	72	30	18	47	30	22	46	45	16	23	27	15	15	27	0	0	3	13	34	14	22
